组合码,国家,省州,市县,纬度,经度,人口数
"Anambra, Nigeria",Nigeria,Anambra,,6.2209,6.937,5527809
"Bauchi, Nigeria",Nigeria,Bauchi,,10.7761,9.9992,6537314
"Bayelsa, Nigeria",Nigeria,Bayelsa,,4.7719,6.0699,2277961
"Benue, Nigeria",Nigeria,Benue,,7.3369,8.7404,5741815
"Borno, Nigeria",Nigeria,Borno,,11.8846,13.152,5860183
"Cross River, Nigeria",Nigeria,Cross River,,5.8702,8.5988,3866269
"Delta, Nigeria",Nigeria,Delta,,5.704,5.9339,5663362
"Ebonyi, Nigeria",Nigeria,Ebonyi,,6.2649,8.0137,2880383
"Edo, Nigeria",Nigeria,Edo,,6.6342,5.9304,4235595
"Ekiti, Nigeria",Nigeria,Ekiti,,7.719,5.311,3270798
"Enugu, Nigeria",Nigeria,Enugu,,6.5364,7.4356,4411119
"Federal Capital Territory, Nigeria",Nigeria,Federal Capital Territory,,8.8941,7.186,3564126
"Gombe, Nigeria",Nigeria,Gombe,,10.3638,11.1928,3256962
"Imo, Nigeria",Nigeria,Imo,,5.572,7.0588,5408756
"Jigawa, Nigeria",Nigeria,Jigawa,,12.228,9.5616,5828163
"Kaduna, Nigeria",Nigeria,Kaduna,,10.3764,7.7095,8252366
"Kano, Nigeria",Nigeria,Kano,,11.7471,8.5247,13076892
"Katsina, Nigeria",Nigeria,Katsina,,12.3797,7.6306,7831319
"Kebbi, Nigeria",Nigeria,Kebbi,,11.4942,4.2333,4440050
"Kogi, Nigeria",Nigeria,Kogi,,7.7337,6.6906,4473490
"Kwara, Nigeria",Nigeria,Kwara,,8.9669,4.3874,3192893
"Lagos, Nigeria",Nigeria,Lagos,,6.5236,3.6006,12550598
"Nasarawa, Nigeria",Nigeria,Nasarawa,,8.4998,8.1997,2523395
"Niger, Nigeria",Nigeria,Niger,,9.9309,5.5983,5556247
"Ogun, Nigeria",Nigeria,Ogun,,6.998,3.4737,5217716
"Ondo, Nigeria",Nigeria,Ondo,,6.9149,5.1478,4671695
"Osun, Nigeria",Nigeria,Osun,,7.5629,4.52,4705589
"Oyo, Nigeria",Nigeria,Oyo,,8.1574,3.6147,7840864
"Plateau, Nigeria",Nigeria,Plateau,,9.2182,9.5179,4200442
"Rivers, Nigeria",Nigeria,Rivers,,4.8396,6.9112,7303924
"Sokoto, Nigeria",Nigeria,Sokoto,,13.0533,5.3223,4998090
"Taraba, Nigeria",Nigeria,Taraba,,7.9994,10.774,3066834
"Yobe, Nigeria",Nigeria,Yobe,,12.2939,11.439,3294137
"Zamfara, Nigeria",Nigeria,Zamfara,,12.1222,6.2236,4515427
"Unknown, Nigeria",Nigeria,Unknown,,,,
North Macedonia,North Macedonia,,,41.6086,21.7453,2083380
Norway,Norway,,,60.472,8.4689,5421242
Oman,Oman,,,21.512583,55.923255,5106622
Pakistan,Pakistan,,,30.3753,69.3451,220892331
"Azad Jammu and Kashmir, Pakistan",Pakistan,Azad Jammu and Kashmir,,34.027401,73.947253,4045366
"Balochistan, Pakistan",Pakistan,Balochistan,,28.328492,65.898403,12344408
"Gilgit-Baltistan, Pakistan",Pakistan,Gilgit-Baltistan,,35.792146,74.982138,1013584
"Islamabad, Pakistan",Pakistan,Islamabad,,33.665087,73.121219,2006572
"Khyber Pakhtunkhwa, Pakistan",Pakistan,Khyber Pakhtunkhwa,,34.485332,72.09169,30523371
"Punjab, Pakistan",Pakistan,Punjab,,30.811346,72.139132,110012442
"Sindh, Pakistan",Pakistan,Sindh,,26.009446,68.776807,47886051
"Unknown, Pakistan",Pakistan,Unknown,,,,
Palau,Palau,,,7.515,134.5825,18008
Panama,Panama,,,8.538,-80.7821,4314768
Papua New Guinea,Papua New Guinea,,,-6.314993,143.95555,8947027
Paraguay,Paraguay,,,-23.4425,-58.4438,7132530
Peru,Peru,,,-9.19,-75.0152,32971846
"Amazonas, Peru",Peru,Amazonas,,-5.077253,-78.050172,426800
"Ancash, Peru",Peru,Ancash,,-9.407125,-77.671795,1180600
"Apurimac, Peru",Peru,Apurimac,,-14.027713,-72.975378,430700
"Arequipa, Peru",Peru,Arequipa,,-15.843524,-72.475539,1497400
"Ayacucho, Peru",Peru,Ayacucho,,-14.091648,-74.08344,668200
"Cajamarca, Peru",Peru,Cajamarca,,-6.430284,-78.745596,1453700
"Callao, Peru",Peru,Callao,,-11.954609,-77.136042,1129900
"Cusco, Peru",Peru,Cusco,,-13.191068,-72.153609,1357100
"Huancavelica, Peru",Peru,Huancavelica,,-13.023888,-75.00277,365300
"Huanuco, Peru",Peru,Huanuco,,-9.421676,-76.040642,760300
"Ica, Peru",Peru,Ica,,-14.235097,-75.574821,975200
"Junin, Peru",Peru,Junin,,-11.541783,-74.876968,1361500
"La Libertad, Peru",Peru,La Libertad,,-7.92139,-78.370238,2016800
"Lambayeque, Peru",Peru,Lambayeque,,-6.353049,-79.824113,1310800
"Lima, Peru",Peru,Lima,,-11.766533,-76.604498,10628500
"Loreto, Peru",Peru,Loreto,,-4.124847,-74.424115,1027600
"Madre de Dios, Peru",Peru,Madre de Dios,,-11.972699,-70.53172,173800
"Moquegua, Peru",Peru,Moquegua,,-16.860271,-70.839046,192700
"Pasco, Peru",Peru,Pasco,,-10.39655,-75.307635,271900
"Piura, Peru",Peru,Piura,,-5.133361,-80.335861,2048000
"Puno, Peru",Peru,Puno,,-14.995827,-69.922726,1238000
"San Martin, Peru",Peru,San Martin,,-7.039531,-76.729127,899600
"Tacna, Peru",Peru,Tacna,,-17.644161,-70.27756,371000
"Tumbes, Peru",Peru,Tumbes,,-3.857496,-80.545255,251500
"Ucayali, Peru",Peru,Ucayali,,-9.621718,-73.444929,589100
"Unknown, Peru",Peru,Unknown,,,,
Philippines,Philippines,,,12.879721,121.774017,109581085
Poland,Poland,,,51.9194,19.1451,37846605
Portugal,Portugal,,,39.3999,-8.2245,10196707
Qatar,Qatar,,,25.3548,51.1839,2881060
Romania,Romania,,,45.9432,24.9668,19237682
Russia,Russia,,,61.52401,105.318756,145934460
"Adygea Republic, Russia",Russia,Adygea Republic,,44.6939006,40.1520421,453376
"Altai Krai, Russia",Russia,Altai Krai,,52.6932243,82.6931424,2350080
"Altai Republic, Russia",Russia,Altai Republic,,50.7114101,86.8572186,218063
"Amur Oblast, Russia",Russia,Amur Oblast,,52.8032368,128.437295,798424
"Arkhangelsk Oblast, Russia",Russia,Arkhangelsk Oblast,,63.5589686,43.1221646,1155028
"Astrakhan Oblast, Russia",Russia,Astrakhan Oblast,,47.1878186,47.608851,1017514
"Bashkortostan Republic, Russia",Russia,Bashkortostan Republic,,54.8573563,57.1439682,4063293
"Belgorod Oblast, Russia",Russia,Belgorod Oblast,,50.7080119,37.5837615,1549876
"Bryansk Oblast, Russia",Russia,Bryansk Oblast,,52.8873315,33.415853,1210982
"Buryatia Republic, Russia",Russia,Buryatia Republic,,52.7182426,109.492143,984511
"Chechen Republic, Russia",Russia,Chechen Republic,,43.3976147,45.6985005,1436981
"Chelyabinsk Oblast, Russia",Russia,Chelyabinsk Oblast,,54.4223954,61.1865846,3493036
"Chukotka Autonomous Okrug, Russia",Russia,Chukotka Autonomous Okrug,,66.0006475,169.4900869,49348
"Chuvashia Republic, Russia",Russia,Chuvashia Republic,,55.4259922,47.0849429,1231117
"Dagestan Republic, Russia",Russia,Dagestan Republic,,43.0574916,47.1332224,3063885
"Ingushetia Republic, Russia",Russia,Ingushetia Republic,,43.11542075,45.01713552,488043
"Irkutsk Oblast, Russia",Russia,Irkutsk Oblast,,56.6370122,104.719221,2404195
"Ivanovo Oblast, Russia",Russia,Ivanovo Oblast,,56.9167446,41.4352137,1014646
"Jewish Autonomous Okrug, Russia",Russia,Jewish Autonomous Okrug,,48.57527615,132.6630746,162014
"Kabardino-Balkarian Republic, Russia",Russia,Kabardino-Balkarian Republic,,43.4806048,43.5978976,865828
"Kaliningrad Oblast, Russia",Russia,Kaliningrad Oblast,,54.7293041,21.1489473,994599
"Kalmykia Republic, Russia",Russia,Kalmykia Republic,,46.2313018,45.3275745,275413
"Kaluga Oblast, Russia",Russia,Kaluga Oblast,,54.4382773,35.5272854,1012056
"Kamchatka Krai, Russia",Russia,Kamchatka Krai,,57.1914882,160.0383819,315557
"Karachay-Cherkess Republic, Russia",Russia,Karachay-Cherkess Republic,,43.7368326,41.7267991,466305
"Karelia Republic, Russia",Russia,Karelia Republic,,62.6194031,33.4920267,622484
"Kemerovo Oblast, Russia",Russia,Kemerovo Oblast,,54.5335781,87.342861,2694877
"Khabarovsk Krai, Russia",Russia,Khabarovsk Krai,,51.6312684,136.121524,1328302
"Khakassia Republic, Russia",Russia,Khakassia Republic,,53.72258845,91.44293627,537513
"Khanty-Mansi Autonomous Okrug, Russia",Russia,Khanty-Mansi Autonomous Okrug,,61.0259025,69.0982628,1532243
"Kirov Oblast, Russia",Russia,Kirov Oblast,,57.9665589,49.4074599,1283238
"Komi Republic, Russia",Russia,Komi Republic,,63.9881421,54.3326073,840873
"Kostroma Oblast, Russia",Russia,Kostroma Oblast,,58.424756,44.2533273,643324
"Krasnodar Krai, Russia",Russia,Krasnodar Krai,,45.7684014,39.0261044,5603420
"Krasnoyarsk Krai, Russia",Russia,Krasnoyarsk Krai,,63.3233807,97.0979974,2876497
"Kurgan Oblast, Russia",Russia,Kurgan Oblast,,55.7655302,64.5632681,845537
"Kursk Oblast, Russia",Russia,Kursk Oblast,,51.6568453,36.4852695,1115237
"Leningrad Oblast, Russia",Russia,Leningrad Oblast,,60.1853296,32.3925325,1813816
"Lipetsk Oblast, Russia",Russia,Lipetsk Oblast,,52.6935178,39.1122664,1150201
"Magadan Oblast, Russia",Russia,Magadan Oblast,,62.48858785,153.9903764,144091
"Mari El Republic, Russia",Russia,Mari El Republic,,56.5767504,47.8817512,682333
"Mordovia Republic, Russia",Russia,Mordovia Republic,,54.4419829,44.4661144,805056
"Moscow, Russia",Russia,Moscow,,55.7504461,37.6174943,12506468
"Moscow Oblast, Russia",Russia,Moscow Oblast,,55.5043158,38.0353929,7503385
"Murmansk Oblast, Russia",Russia,Murmansk Oblast,,68.0000418,33.9999151,753557
"Nenets Autonomous Okrug, Russia",Russia,Nenets Autonomous Okrug,,68.27557185,57.1686375,43997
"Nizhny Novgorod Oblast, Russia",Russia,Nizhny Novgorod Oblast,,55.4718033,44.0911594,3234752
"North Ossetia - Alania Republic, Russia",Russia,North Ossetia - Alania Republic,,42.7933611,44.6324493,701765
"Novgorod Oblast, Russia",Russia,Novgorod Oblast,,58.2843833,32.5169757,606476
"Novosibirsk Oblast, Russia",Russia,Novosibirsk Oblast,,54.9720169,79.4813924,2788849
"Omsk Oblast, Russia",Russia,Omsk Oblast,,56.0935263,73.5099936,1960081
"Orel Oblast, Russia",Russia,Orel Oblast,,52.9685433,36.0692477,747247
"Orenburg Oblast, Russia",Russia,Orenburg Oblast,,52.0269262,54.7276647,1977720
"Penza Oblast, Russia",Russia,Penza Oblast,,53.1655415,44.7879181,1331655
"Perm Krai, Russia",Russia,Perm Krai,,58.5951603,56.3159546,2623122
"Primorsky Krai, Russia",Russia,Primorsky Krai,,45.0819456,134.726645,1913037
"Pskov Oblast, Russia",Russia,Pskov Oblast,,57.5358729,28.8586826,636546
"Rostov Oblast, Russia",Russia,Rostov Oblast,,47.6222451,40.7957942,4220452
"Ryazan Oblast, Russia",Russia,Ryazan Oblast,,54.4226732,40.5705246,1121474
"Saint Petersburg, Russia",Russia,Saint Petersburg,,59.9606739,30.1586551,5351935
"Sakha (Yakutiya) Republic, Russia",Russia,Sakha (Yakutiya) Republic,,66.941626,129.642371,964330
"Sakhalin Oblast, Russia",Russia,Sakhalin Oblast,,49.7219665,143.448533,490181
"Samara Oblast, Russia",Russia,Samara Oblast,,53.2128813,50.8914633,3193514
"Saratov Oblast, Russia",Russia,Saratov Oblast,,51.6520555,46.8631952,2462950
"Smolensk Oblast, Russia",Russia,Smolensk Oblast,,55.0343496,33.0192065,949348
"Stavropol Krai, Russia",Russia,Stavropol Krai,,44.8632577,43.4406913,2800674
"Sverdlovsk Oblast, Russia",Russia,Sverdlovsk Oblast,,58.6414755,61.8021546,4325256
"Tambov Oblast, Russia",Russia,Tambov Oblast,,52.9019574,41.3578918,1033552
"Tatarstan Republic, Russia",Russia,Tatarstan Republic,,55.7648572,52.43104273,3894284
"Tomsk Oblast, Russia",Russia,Tomsk Oblast,,58.6124279,82.0475315,1078280
"Tula Oblast, Russia",Russia,Tula Oblast,,53.9570701,37.3690909,1491855
"Tver Oblast, Russia",Russia,Tver Oblast,,57.1134475,35.1744428,1283873
"Tyumen Oblast, Russia",Russia,Tyumen Oblast,,58.8206488,70.3658837,3692400
"Tyva Republic, Russia",Russia,Tyva Republic,,51.4017149,93.8582593,321722
"Udmurt Republic, Russia",Russia,Udmurt Republic,,57.1961165,52.6959832,1513044
"Ulyanovsk Oblast, Russia",Russia,Ulyanovsk Oblast,,54.1463177,47.2324921,1246618
"Vladimir Oblast, Russia",Russia,Vladimir Oblast,,56.0503336,40.6561633,1378337
"Volgograd Oblast, Russia",Russia,Volgograd Oblast,,49.6048339,44.2903582,2521276
"Vologda Oblast, Russia",Russia,Vologda Oblast,,60.0391461,43.1215213,1176689
"Voronezh Oblast, Russia",Russia,Voronezh Oblast,,50.9800393,40.1506507,2333768
"Yamalo-Nenets Autonomous Okrug, Russia",Russia,Yamalo-Nenets Autonomous Okrug,,67.1471631,74.3415488,538547
"Yaroslavl Oblast, Russia",Russia,Yaroslavl Oblast,,57.7781976,39.0021095,1265684
"Zabaykalsky Krai, Russia",Russia,Zabaykalsky Krai,,52.248521,115.956325,1072806
"Unknown, Russia",Russia,Unknown,,,,
Rwanda,Rwanda,,,-1.9403,29.8739,12952209
Saint Kitts and Nevis,Saint Kitts and Nevis,,,17.357822,-62.782998,53192
Saint Lucia,Saint Lucia,,,13.9094,-60.9789,183629
Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,,,12.9843,-61.2872,110947
Samoa,Samoa,,,-13.759,-172.1046,196130
San Marino,San Marino,,,43.9424,12.4578,33938
Sao Tome and Principe,Sao Tome and Principe,,,0.1864,6.6131,219161
Saudi Arabia,Saudi Arabia,,,23.885942,45.079162,34813867
Senegal,Senegal,,,14.4974,-14.4524,16743930
Serbia,Serbia,,,44.0165,21.0059,8737370
Seychelles,Seychelles,,,-4.6796,55.492,98340
Sierra Leone,Sierra Leone,,,8.460555,-11.779889,7976985
Singapore,Singapore,,,1.2833,103.8333,5850343
Slovakia,Slovakia,,,48.669,19.699,5459643
Slovenia,Slovenia,,,46.1512,14.9955,2078932
Solomon Islands,Solomon Islands,,,-9.6457,160.1562,652858
Somalia,Somalia,,,5.152149,46.199616,15893219
South Africa,South Africa,,,-30.5595,22.9375,59308690
South Sudan,South Sudan,,,6.877,31.307,11193729
Spain,Spain,,,40.463667,-3.74922,46754783
"Andalusia, Spain",Spain,Andalusia,,37.5443,-4.7278,8427405
"Aragon, Spain",Spain,Aragon,,41.5976,-0.9057,1320586
"Asturias, Spain",Spain,Asturias,,43.3614,-5.8593,1022205
"Baleares, Spain",Spain,Baleares,,39.710358,2.995148,1188220
"Canarias, Spain",Spain,Canarias,,28.2916,-16.6291,2206901
"Cantabria, Spain",Spain,Cantabria,,43.1828,-3.9878,581641
"Castilla - La Mancha, Spain",Spain,Castilla - La Mancha,,39.2796,-3.0977,2034877
"Castilla y Leon, Spain",Spain,Castilla y Leon,,41.8357,-4.3976,2407733
"Catalonia, Spain",Spain,Catalonia,,41.5912,1.5209,7566431
"Ceuta, Spain",Spain,Ceuta,,35.8894,-5.3213,84829
"C. Valenciana, Spain",Spain,C. Valenciana,,39.484,-0.7533,4974969
"Extremadura, Spain",Spain,Extremadura,,39.4937,-6.0679,1065424
"Galicia, Spain",Spain,Galicia,,42.5751,-8.1339,2700441
"Madrid, Spain",Spain,Madrid,,40.4168,-3.7038,6641649
"Melilla, Spain",Spain,Melilla,,35.2923,-2.9381,84689
"Murcia, Spain",Spain,Murcia,,37.9922,-1.1307,1487663
"Navarra, Spain",Spain,Navarra,,42.6954,-1.6761,649946
"Pais Vasco, Spain",Spain,Pais Vasco,,42.9896,-2.6189,2177880
"La Rioja, Spain",Spain,La Rioja,,42.2871,-2.5396,313571
"Unknown, Spain",Spain,Unknown,,,,
Sri Lanka,Sri Lanka,,,7.873054,80.771797,21413250
Sudan,Sudan,,,12.8628,30.2176,43849269
Suriname,Suriname,,,3.9193,-56.0278,586634
Sweden,Sweden,,,60.128161,18.643501,10099270
"Blekinge, Sweden",Sweden,Blekinge,,56.2784,15.018,159606
"Dalarna, Sweden",Sweden,Dalarna,,61.0917,14.6664,287966
"Gavleborg, Sweden",Sweden,Gavleborg,,61.3012,16.1534,287382
"Gotland, Sweden",Sweden,Gotland,,57.4684,18.4867,59686
"Halland, Sweden",Sweden,Halland,,56.8967,12.8034,333848
"Jamtland Harjedalen, Sweden",Sweden,Jamtland Harjedalen,,63.1712,14.9592,130810
"Jonkoping, Sweden",Sweden,Jonkoping,,57.3708,14.3439,363599
"Kalmar, Sweden",Sweden,Kalmar,,57.235,16.1849,245446
"Kronoberg, Sweden",Sweden,Kronoberg,,56.7183,14.4115,201469
"Norrbotten, Sweden",Sweden,Norrbotten,,66.8309,20.3992,250093
"Orebro, Sweden",Sweden,Orebro,,59.535,15.0066,304805
"Ostergotland, Sweden",Sweden,Ostergotland,,58.3454,15.5198,465495
"Skane, Sweden",Sweden,Skane,,55.9903,13.5958,1377827
"Sormland, Sweden",Sweden,Sormland,,59.0336,16.7519,297540
"Stockholm, Sweden",Sweden,Stockholm,,59.6025,18.1384,2377081
"Uppsala, Sweden",Sweden,Uppsala,,60.0092,17.2715,383713
"Varmland, Sweden",Sweden,Varmland,,59.7294,13.2354,282414
"Vasterbotten, Sweden",Sweden,Vasterbotten,,65.3337,16.5162,271736
"Vasternorrland, Sweden",Sweden,Vasternorrland,,63.4276,17.7292,245347
"Vastmanland, Sweden",Sweden,Vastmanland,,59.6714,16.2159,275845
"Vastra Gotaland, Sweden",Sweden,Vastra Gotaland,,58.2528,13.0596,1725881
"Unknown, Sweden",Sweden,Unknown,,,,
Switzerland,Switzerland,,,46.8182,8.2275,8654618
Syria,Syria,,,34.802075,38.996815,17500657
Taiwan*,Taiwan*,,,23.7,121,23816775
Tajikistan,Tajikistan,,,38.861,71.2761,9537642
Tanzania,Tanzania,,,-6.369028,34.888822,59734213
Thailand,Thailand,,,15.870032,100.992541,69799978
Timor-Leste,Timor-Leste,,,-8.874217,125.727539,1318442
Togo,Togo,,,8.6195,0.8248,8278737
Trinidad and Tobago,Trinidad and Tobago,,,10.6918,-61.2225,1399491
Tunisia,Tunisia,,,33.886917,9.537499,11818618
Turkey,Turkey,,,38.9637,35.2433,84339067
Uganda,Uganda,,,1.373333,32.290275,45741000
Ukraine,Ukraine,,,48.3794,31.1656,43733759
"Cherkasy Oblast, Ukraine",Ukraine,Cherkasy Oblast,,49.4444,32.0598,1206351
"Chernihiv Oblast, Ukraine",Ukraine,Chernihiv Oblast,,51.4982,31.2893,1005745
"Chernivtsi Oblast, Ukraine",Ukraine,Chernivtsi Oblast,,48.2917,25.9352,904374
"Crimea Republic*, Ukraine",Ukraine,Crimea Republic*,,45.2835,34.2008,1913731
"Dnipropetrovsk Oblast, Ukraine",Ukraine,Dnipropetrovsk Oblast,,48.4647,35.0462,3206477
"Donetsk Oblast, Ukraine",Ukraine,Donetsk Oblast,,48.0159,37.8028,4165901
"Ivano-Frankivsk Oblast, Ukraine",Ukraine,Ivano-Frankivsk Oblast,,48.9226,24.7111,1373252
"Kharkiv Oblast, Ukraine",Ukraine,Kharkiv Oblast,,49.9935,36.2304,2675598
"Kherson Oblast, Ukraine",Ukraine,Kherson Oblast,,46.6354,32.6169,1037640
"Khmelnytskyi Oblast, Ukraine",Ukraine,Khmelnytskyi Oblast,,49.423,26.9871,1264705
"Kiev, Ukraine",Ukraine,Kiev,,50.4501,30.5234,2950800
"Kiev Oblast, Ukraine",Ukraine,Kiev Oblast,,50.053,30.7667,1767940
"Kirovohrad Oblast, Ukraine",Ukraine,Kirovohrad Oblast,,48.5079,32.2623,945549
"Luhansk Oblast, Ukraine",Ukraine,Luhansk Oblast,,48.574,39.3078,2151833
"Lviv Oblast, Ukraine",Ukraine,Lviv Oblast,,49.8397,24.0297,2522021
"Mykolaiv Oblast, Ukraine",Ukraine,Mykolaiv Oblast,,46.975,31.9946,2522021
"Odessa Oblast, Ukraine",Ukraine,Odessa Oblast,,46.4846,30.7326,2380308
"Poltava Oblast, Ukraine",Ukraine,Poltava Oblast,,49.5883,34.5514,1400439
"Rivne Oblast, Ukraine",Ukraine,Rivne Oblast,,50.6199,26.2516,1157301
"Sevastopol*, Ukraine",Ukraine,Sevastopol*,,44.6054,33.522,443211
"Sumy Oblast, Ukraine",Ukraine,Sumy Oblast,,50.9077,34.7981,1081418
"Ternopil Oblast, Ukraine",Ukraine,Ternopil Oblast,,49.5535,25.5948,1045879
"Vinnytsia Oblast, Ukraine",Ukraine,Vinnytsia Oblast,,49.2331,28.4682,1560394
"Volyn Oblast, Ukraine",Ukraine,Volyn Oblast,,50.7472,25.3254,1035330
"Zakarpattia Oblast, Ukraine",Ukraine,Zakarpattia Oblast,,48.6208,22.2879,1256802
"Zaporizhia Oblast, Ukraine",Ukraine,Zaporizhia Oblast,,47.8388,35.1396,1705836
"Zhytomyr Oblast, Ukraine",Ukraine,Zhytomyr Oblast,,50.2547,28.6587,1220193
"Unknown, Ukraine",Ukraine,Unknown,,,,
United Arab Emirates,United Arab Emirates,,,23.424076,53.847818,9890400
United Kingdom,United Kingdom,,,55.3781,-3.436,67886004
"England, United Kingdom",United Kingdom,England,,52.3555,-1.1743,55977200
"Northern Ireland, United Kingdom",United Kingdom,Northern Ireland,,54.7877,-6.4923,1881600
"Scotland, United Kingdom",United Kingdom,Scotland,,56.4907,-4.2026,5463300
"Wales, United Kingdom",United Kingdom,Wales,,52.1307,-3.7837,3138600
"Unknown, United Kingdom",United Kingdom,Unknown,,,,
"Bermuda, United Kingdom",United Kingdom,Bermuda,,32.3078,-64.7505,62273
"British Virgin Islands, United Kingdom",United Kingdom,British Virgin Islands,,18.4207,-64.64,30237
"Cayman Islands, United Kingdom",United Kingdom,Cayman Islands,,19.3133,-81.2546,65720
"Channel Islands, United Kingdom",United Kingdom,Channel Islands,,49.3723,-2.3644,170499
"Falkland Islands (Malvinas), United Kingdom",United Kingdom,Falkland Islands (Malvinas),,-51.7963,-59.5236,3483
"Gibraltar, United Kingdom",United Kingdom,Gibraltar,,36.1408,-5.3536,33691
"Isle of Man, United Kingdom",United Kingdom,Isle of Man,,54.2361,-4.5481,85032
"Montserrat, United Kingdom",United Kingdom,Montserrat,,16.742498,-62.187366,4999
"Turks and Caicos Islands, United Kingdom",United Kingdom,Turks and Caicos Islands,,21.694,-71.7979,38718
"Anguilla, United Kingdom",United Kingdom,Anguilla,,18.2206,-63.0686,15002
"Saint Helena, Ascension and Tristan da Cunha, United Kingdom",United Kingdom,"Saint Helena, Ascension and Tristan da Cunha",,-7.9467,-14.3559,5661
Uruguay,Uruguay,,,-32.5228,-55.7658,3473727
Uzbekistan,Uzbekistan,,,41.377491,64.585262,33469199
Vanuatu,Vanuatu,,,-15.3767,166.9592,292680
Venezuela,Venezuela,,,6.4238,-66.5897,28435943
Vietnam,Vietnam,,,14.058324,108.277199,97338583
West Bank and Gaza,West Bank and Gaza,,,31.9522,35.2332,5101416
Western Sahara,Western Sahara,,,24.2155,-12.8858,597330
Yemen,Yemen,,,15.552727,48.516388,29825968
Zambia,Zambia,,,-13.133897,27.849332,18383956
Zimbabwe,Zimbabwe,,,-19.015438,29.154857,14862927
Australia,Australia,,,-25,133,25459700
"Australian Capital Territory, Australia",Australia,Australian Capital Territory,,-35.4735,149.0124,428100
"New South Wales, Australia",Australia,New South Wales,,-33.8688,151.2093,8118000
"Northern Territory, Australia",Australia,Northern Territory,,-12.4634,130.8456,245600
"Queensland, Australia",Australia,Queensland,,-27.4698,153.0251,5115500
"South Australia, Australia",Australia,South Australia,,-34.9285,138.6007,1756500
"Tasmania, Australia",Australia,Tasmania,,-42.8821,147.3272,535500
"Victoria, Australia",Australia,Victoria,,-37.8136,144.9631,6629900
"Western Australia, Australia",Australia,Western Australia,,-31.9505,115.8605,2630600
Canada,Canada,,,60,-95,37855702
"Alberta, Canada",Canada,Alberta,,53.9333,-116.5765,4413146
"British Columbia, Canada",Canada,British Columbia,,53.7267,-127.6476,5110917
"Manitoba, Canada",Canada,Manitoba,,53.7609,-98.8139,1377517
"New Brunswick, Canada",Canada,New Brunswick,,46.5653,-66.4619,779993
"Newfoundland and Labrador, Canada",Canada,Newfoundland and Labrador,,53.1355,-57.6604,521365
"Northwest Territories,Canada",Canada,Northwest Territories,,64.8255,-124.8457,44904
"Nova Scotia, Canada",Canada,Nova Scotia,,44.682,-63.7443,977457
"Ontario, Canada",Canada,Ontario,,51.2538,-85.3232,14711827
"Prince Edward Island, Canada",Canada,Prince Edward Island,,46.5107,-63.4168,158158
"Quebec, Canada",Canada,Quebec,,52.9399,-73.5491,8537674
